카테고리: 모든 카테고리

주,경제: (대한민국)
2013-01-06,81
2013-01-13,82
2013-01-20,72
2013-01-27,88
2013-02-03,86
2013-02-10,64
2013-02-17,78
2013-02-24,61
2013-03-03,88
2013-03-10,89
2013-03-17,92
2013-03-24,96
2013-03-31,82
2013-04-07,96
2013-04-14,90
2013-04-21,92
2013-04-28,79
2013-05-05,80
2013-05-12,72
2013-05-19,95
2013-05-26,94
2013-06-02,87
2013-06-09,97
2013-06-16,98
2013-06-23,75
2013-06-30,80
2013-07-07,70
2013-07-14,81
2013-07-21,80
2013-07-28,69
2013-08-04,65
2013-08-11,77
2013-08-18,76
2013-08-25,73
2013-09-01,70
2013-09-08,60
2013-09-15,60
2013-09-22,84
2013-09-29,84
2013-10-06,82
2013-10-13,91
2013-10-20,89
2013-10-27,94
2013-11-03,82
2013-11-10,71
2013-11-17,97
2013-11-24,87
2013-12-01,82
2013-12-08,91
2013-12-15,72
2013-12-22,62
2013-12-29,65
2014-01-05,75
2014-01-12,76
2014-01-19,60
2014-01-26,66
2014-02-02,67
2014-02-09,70
2014-02-16,69
2014-02-23,76
2014-03-02,78
2014-03-09,88
2014-03-16,84
2014-03-23,82
2014-03-30,74
2014-04-06,83
2014-04-13,82
2014-04-20,83
2014-04-27,73
2014-05-04,84
2014-05-11,77
2014-05-18,94
2014-05-25,86
2014-06-01,73
2014-06-08,91
2014-06-15,86
2014-06-22,68
2014-06-29,57
2014-07-06,59
2014-07-13,68
2014-07-20,64
2014-07-27,53
2014-08-03,53
2014-08-10,60
2014-08-17,67
2014-08-24,60
2014-08-31,81
2014-09-07,59
2014-09-14,73
2014-09-21,67
2014-09-28,72
2014-10-05,85
2014-10-12,93
2014-10-19,88
2014-10-26,83
2014-11-02,86
2014-11-09,79
2014-11-16,88
2014-11-23,81
2014-11-30,89
2014-12-07,79
2014-12-14,85
2014-12-21,72
2014-12-28,58
2015-01-04,76
2015-01-11,76
2015-01-18,73
2015-01-25,63
2015-02-01,76
2015-02-08,67
2015-02-15,53
2015-02-22,71
2015-03-01,75
2015-03-08,79
2015-03-15,93
2015-03-22,80
2015-03-29,83
2015-04-05,100
2015-04-12,95
2015-04-19,94
2015-04-26,85
2015-05-03,75
2015-05-10,93
2015-05-17,87
2015-05-24,84
2015-05-31,82
2015-06-07,90
2015-06-14,78
2015-06-21,68
2015-06-28,71
2015-07-05,79
2015-07-12,67
2015-07-19,75
2015-07-26,69
2015-08-02,61
2015-08-09,56
2015-08-16,71
2015-08-23,77
2015-08-30,71
2015-09-06,73
2015-09-13,90
2015-09-20,76
2015-09-27,70
2015-10-04,68
2015-10-11,83
2015-10-18,92
2015-10-25,89
2015-11-01,74
2015-11-08,88
2015-11-15,81
2015-11-22,83
2015-11-29,76
2015-12-06,80
2015-12-13,78
2015-12-20,73
2015-12-27,59
2016-01-03,71
2016-01-10,67
2016-01-17,80
2016-01-24,56
2016-01-31,65
2016-02-07,68
2016-02-14,70
2016-02-21,63
2016-02-28,66
2016-03-06,75
2016-03-13,69
2016-03-20,80
2016-03-27,75
2016-04-03,83
2016-04-10,78
2016-04-17,85
2016-04-24,75
2016-05-01,56
2016-05-08,80
2016-05-15,70
2016-05-22,83
2016-05-29,82
2016-06-05,77
2016-06-12,79
2016-06-19,68
2016-06-26,60
2016-07-03,69
2016-07-10,52
2016-07-17,64
2016-07-24,59
2016-07-31,56
2016-08-07,48
2016-08-14,43
2016-08-21,52
2016-08-28,56
2016-09-04,60
2016-09-11,43
2016-09-18,71
2016-09-25,61
2016-10-02,59
2016-10-09,65
2016-10-16,77
2016-10-23,75
2016-10-30,76
2016-11-06,77
2016-11-13,81
2016-11-20,73
2016-11-27,80
2016-12-04,76
2016-12-11,68
2016-12-18,62
2016-12-25,50
2017-01-01,56
2017-01-08,52
2017-01-15,62
2017-01-22,60
2017-01-29,60
2017-02-05,59
2017-02-12,56
2017-02-19,56
2017-02-26,61
2017-03-05,65
2017-03-12,70
2017-03-19,76
2017-03-26,76
2017-04-02,76
2017-04-09,76
2017-04-16,64
2017-04-23,77
2017-04-30,61
2017-05-07,72
2017-05-14,69
2017-05-21,69
2017-05-28,82
2017-06-04,76
2017-06-11,71
2017-06-18,70
2017-06-25,55
2017-07-02,59
2017-07-09,54
2017-07-16,57
2017-07-23,55
2017-07-30,54
2017-08-06,61
2017-08-13,63
2017-08-20,58
2017-08-27,60
2017-09-03,68
2017-09-10,69
2017-09-17,66
2017-09-24,64
2017-10-01,44
2017-10-08,80
2017-10-15,76
2017-10-22,74
2017-10-29,70
2017-11-05,70
2017-11-12,74
2017-11-19,76
2017-11-26,85
2017-12-03,78
2017-12-10,71
2017-12-17,60
2017-12-24,58
2017-12-31,54
